"Util already initialized","यूटिल पहले ही प्रारंभ हो चुका है"
"Util not initialized","यूटिल अभी आरंभ नहीं हुआ है"
"File does not exist","फ़ाइल मौजूद नहीं है"
"%field is a required field","%field एक आवश्यक फ़ील्ड है"
"User with email %email already exists","ईमेल %email वाला उपयोगकर्ता पहले से मौजूद है"
"User is not logged in","उपयोगकर्ता लॉग इन नहीं है"
"Processor not found","प्रोसेसर नहीं मिला"
"Malformed JSON POST data","विकृत JSON पोस्ट डेटा"
"Error processing endpoint","समापन बिंदु संसाधित करने में त्रुटि"
"Bucket does not belong to you","बाल्टी आपकी नहीं है"
"Invalid email or password","अमान्य ईमेल या पासवर्ड"
"Cannot change %field","%field नहीं बदला जा सकता"
"Invalid type","अमान्य प्रकार"
"Extract all translation strings into CSV","सभी अनुवाद स्ट्रिंग को CSV में निकालें"
"<info>Extracting phrases</info>","<info>वाक्यांश निकालना</info>"
"<info>Phrases extracted to %file</info>","<info>वाक्यांश %file में निकाले गए</info>"
